Episodes,Emition_Date,Users,Rank,Title,Score
TV (12 eps),Jul 2023 - Sep 2023,"76,950",1870,Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,7.10
TV (12 eps),Jul 2015 - Sep 2015,"684,100",1871,Himouto! Umaru-chan,7.10
TV (13 eps),Oct 2008 - Dec 2008,"12,494",1872,Hokuto no Ken: Raoh Gaiden Ten no Haoh,7.10
TV (8 eps),Oct 2022 - Dec 2022,"101,561",1873,Arknights: Reimei Zensou,7.09
TV (12 eps),Sep 2006 - Nov 2006,"102,862",1874,Black Blood Brothers,7.09
TV (13 eps),Apr 2014 - Jul 2014,"913,923",1875,Black Bullet,7.09
TV (24 eps),Oct 2001 - Mar 2002,"23,868",1876,Chicchana Yukitsukai Sugar,7.09
TV (24 eps),Apr 2011 - Sep 2011,"27,792",1877,Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,7.09
TV (25 eps),Apr 1997 - Sep 1997,"11,367",1878,Hyper Police,7.09
TV (12 eps),Jan 2024 -,"10,195",1879,Synduality: Noir Part 2,7.09
TV (52 eps),Apr 2002 - Mar 2003,"153,659",1880,Tokyo Mew Mew,7.09
TV (12 eps),Oct 2018 - Dec 2018,"105,640",1881,Tonari no Kyuuketsuki-san,7.09
TV (12 eps),Jul 2019 - Sep 2019,"213,425",1882,"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",7.09
TV (13 eps),Oct 2008 - Dec 2008,"365,144",1883,Vampire Knight Guilty,7.09
TV (51 eps),Oct 2021 - Oct 2022,"5,377",1884,Waccha PriMagi!,7.09
TV (12 eps),Oct 2006 - Dec 2006,"40,711",1885,Yoake Mae yori Ruriiro na: Crescent Love,7.09
TV (47 eps),Feb 1984 - Feb 1985,"3,162",1886,Yume Senshi Wingman,7.09
TV (25 eps),Oct 1983 - Mar 1984,"9,392",1887,Kikou Souseiki Mospeada,7.09
TV (12 eps),Apr 2014 - Jun 2014,"276,951",1888,Mangaka-san to Assistant-san to The Animation,7.09
TV (? eps),Jan 2024 -,"66,824",1889,Metallic Rouge,7.09
TV (12 eps),Jul 2006 - Sep 2006,"20,515",1890,Muteki Kanban Musume,7.09
TV (24 eps),Jul 2012 - Dec 2012,"95,054",1891,Muv-Luv Alternative: Total Eclipse,7.09
TV (26 eps),Apr 2018 - Sep 2018,"9,100",1892,Nobunaga no Shinobi: Anegawa Ishiyama-hen,7.09
TV (26 eps),Apr 2008 - Oct 2008,"27,147",1893,RD Sennou Chousashitsu,7.09
TV (69 eps),Oct 1982 - Mar 1984,"1,846",1894,Sasuga no Sarutobi,7.09
TV (13 eps),Apr 2013 - Jun 2013,"215,046",1895,Karneval (TV),7.08
TV (12 eps),Jul 2022 - Sep 2022,"219,018",1896,Kuro no Shoukanshi,7.08
